Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
62,Superman,John Williams,1978,https://www.youtube.com/watch?v=-yVV8ntoU78,cf52c4dceffb1208ae0f0fc1e0f483226bb715e18be6417a4e7e281cd9010f79,Theme from Superman (Concert Version),USWB10203667
63,Jenseits von Afrika (I Had A Farm),John Barry,1985,https://www.youtube.com/watch?v=ecPJxghJteg,a61b0d0bf20c1968b9a087eaac3cb6df5eb885f37b352f4d0db894601d5e1e0e,Main Title (I Had A Farm In Africa),US3M59781601
64,Wednesday,Danny Elfman,2022,https://www.youtube.com/watch?v=vhBHaz9SaLI,f6075867e67448b7d97d673810e9646b0a13754a85558a90ddf6b405723c45a6,Wednesday Main Titles,USLS52232101
65,Der letzte Tango in Paris,Gato Barbieri,1972,https://www.youtube.com/watch?v=_uQNkFmgyzI,068a8506d3ed7b120f2978c2a7538e20d0382d803035194f93d67c9896a0b5b8,gato barbieri - last tango in paris,ITC460500427
66,So wie wir waren - The Way We Were,Barbra Streisand,1973,https://www.youtube.com/watch?v=uBPQT2Ia8fU,5acd2b75460c7f4c9491ccb7bd15b4a262f410c57467bfa0a3a770d72326fd04,"Barbra Streisand ""The Way We Were""",USSM10024187
67,Twin Peaks,Angelo Badalamenti,1990,https://www.youtube.com/watch?v=pXrjMaVoTy0,7cfb44c2439a9a51f91cabaae999fee992d9062f84b764dcc61bba8435a5ad65,Angelo Badalamenti Twin Peaks Theme ( Instrumental) 1990,USWB10102633
68,"Buffy, im Bann der Dämonen - Buffy The Vampire Slayer",Nerf Herder,1997,https://www.youtube.com/watch?v=vb5QwA29UVs,ce38333028ef15797414dcdad3531a33ae50c3e0d7ab00ac6cd9ac8e4cd1e840,Law & Order: Special Victims Unit - Theme from the TV Series,UKDNQ1537213
69,L.A. Law - Law & Order,Dominik Hauser,1986,https://www.youtube.com/watch?v=IRXNVdiqMuU,50500f71dd8121fd0c25f4ca469c7107a86a0dafb56f5ad19a3c1b83e46c3f13,Law & Order: SVU Opening Title Sequence (Theme Song),QMT281201927
70,8 Mile (Lose Yourself),Eminem,2002,https://www.youtube.com/watch?v=_Yhyp-_hX2s,4f789d03039f7b145d4749b65b200eea0097ab2ec445122584d521cc07a0ba7b,Eminem - Lose Yourself [HD],USIR10211559
71,Fluch der Karibik (He's a Pirate),Klaus Badelt,2003,https://www.youtube.com/watch?v=s17XDrKuqc4,e9e7d1132a025c04658aae1bdcc7d26450e232c6e5bc8e1a25dc05b57c0ed3d2,He's a Pirate,USWD10321341
