Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
99,Wonderwall,Oasis,1995,https://www.youtube.com/watch?v=FVdjZYfDuLE,8048295e218cc2632bf115afcb070617b374e672180dd7f0ed63fd5ffdb1e172,Wonderwall (Remastered),
100,You Can't Hurry Love,The Supremes,1966,https://www.youtube.com/watch?v=nq_TX5ZR0rU,4fd29c710574084a562ab34b45e78331357225ac7d5fb684a19f4bcdd337f48a,You Can't Hurry Love (Mono),
101,Gold Digger,"Kanye West, Jamie Foxx",2005,https://www.youtube.com/watch?v=6vwNcNOTVzY,a68f070659726466d67f15213b0a9e51160183cca90a34e6284e90cbb02ad867,Kanye West - Gold Digger ft. Jamie Foxx,
102,Ich will Spass,Markus,1982,https://www.youtube.com/watch?v=UW7lB7p0Eow,5bcef36af3b1bded7170dcda13efdc8996256d632749ac21561ec3614fee86ef,Markus - Ich will Spass (ZDF Hitparade 05.07.1982) (VOD),
103,Lady - Hear Me Tonight,Modjo,2000,https://www.youtube.com/watch?v=vRB1MLGEHSc,b7de8bd17e941a1ba60836ef68c6615ab5d5257e4d1efcabca7e02957eaaf304,Modjo - Lady (Hear Me Tonight) (Radio Edit) (HQ),
104,She Drives Me Crazy,Fine Young Cannibals,1988,https://www.youtube.com/watch?v=UtvmTu4zAMg,0c7a6a595c2deee6409e0b92d0cf7c0d3a34ff2297bf4f29f2518ef1bc656239,Fine Young Cannibals - She Drives Me Crazy (Official Video),
105,Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,1956,https://www.youtube.com/watch?v=CNwsXRsvVWE,dbdf0faf86bc492b77687204ac44b29a9869fa31dd58c76e34dc40ffb84eac41,Heimweh (Dort wo die Blumen blüh'n),
106,Moskau,Dschinghis Khan,1979,https://www.youtube.com/watch?v=lyuFLU2Zqz0,9b308b77acd3ad55c2f6d26d89f2372ff0efd97b84eaaffecc0c3c3e15565618,Dschinghis Khan - Moskau (Starparade 14.06.1979),
107,Cotton Eye Joe,Rednex,1994,https://www.youtube.com/watch?v=mOYZaiDZ7BM,d637f3c9f68734dbef99dd0800b99de1edbd0bf0f66241f49f200b66a41e4678,Rednex - Cotton Eye Joe (Official Music Video) [HD] - RednexMusic com,
108,I Can Help,Billy Swan,1974,https://www.youtube.com/watch?v=bgPsM-YWBrE,f38f931369cc6616d25424b1ff3585ac72193ec0c867c80c7abea4979ce7b15f,Billy Swan - I Can Help (Audio),
